frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
186,95,0.2141360193490982,95,0,0,106,95,2403.916835784912,0.4159877684260596,663.61474609375
187,90,0.21262435615062714,90,0,0,93,90,3178.6322593688965,0.3146007208139722,663.61474609375
188,77,0.24195528030395508,77,0,0,82,77,2148.5884189605713,0.4654218514701726,663.61474609375
189,95,0.22856120765209198,95,0,0,102,95,2280.479907989502,0.438504192252065,663.61474609375
190,100,0.2075350433588028,100,0,0,113,100,2711.0416889190674,0.36886190429580407,663.61474609375
191,101,0.2155839204788208,101,0,0,116,101,2678.971290588379,0.3732776097725076,663.61474609375
192,104,0.21530063450336456,104,0,0,121,104,3140.056371688843,0.3184656202404932,663.61474609375
193,127,0.1782640516757965,127,0,0,126,127,3738.4281158447266,0.26749210336870216,699.61474609375
194,94,0.2197142243385315,94,0,0,125,94,1974.7638702392578,0.5063896575537623,699.61474609375
195,101,0.18380236625671387,101,0,0,98,101,2016.0317420959473,0.4960239360915816,699.61474609375
196,95,0.18696194887161255,95,0,0,101,95,3551.9208908081055,0.28153780186598915,699.61474609375
197,105,0.18836739659309387,105,0,0,101,105,3988.4514808654785,0.25072387235935584,699.61474609375
198,105,0.1943301111459732,105,0,0,108,105,2729.69388961792,0.3663414435601685,699.61474609375
199,92,0.21370507776737213,92,0,0,103,92,2382.3559284210205,0.419752560089869,699.61474609375
200,90,0.23373016715049744,90,0,0,98,90,2038.9056205749512,0.49045919041510605,699.61474609375
201,102,0.20698295533657074,102,0,0,101,102,3752.8440952301025,0.2664645731675901,699.61474609375
202,87,0.22472147643566132,87,0,0,104,87,2470.0801372528076,0.40484516470473203,699.61474609375
203,105,0.20368200540542603,105,0,0,106,105,3298.967123031616,0.3031251790957652,699.61474609375
204,93,0.21716895699501038,93,0,0,114,93,2691.9050216674805,0.37148413185118895,699.61474609375
205,84,0.21591421961784363,84,0,0,97,84,3918.4060096740723,0.2552058152042235,699.61474609375
206,78,0.2569925785064697,78,0,0,80,78,2571.59423828125,0.3888638359480692,699.61474609375
207,73,0.23017331957817078,73,0,0,80,73,2361.2818717956543,0.4234987834127328,699.61474609375
208,82,0.2264380156993866,82,0,0,87,82,1881.8271160125732,0.5313984432953184,699.61474609375
209,88,0.20039363205432892,88,0,0,98,88,3206.7418098449707,0.31184300430109924,699.61474609375
210,90,0.2113574594259262,90,0,0,96,90,3210.043430328369,0.31152226494882834,699.61474609375
211,99,0.1876143217086792,99,0,0,100,99,4355.587720870972,0.22959014123587287,699.61474609375
212,77,0.24431878328323364,77,0,0,83,77,3037.341594696045,0.32923527658076035,699.61474609375
213,82,0.236896350979805,82,0,0,83,82,2832.421064376831,0.3530548521111259,699.61474609375
214,86,0.22126294672489166,86,0,0,100,86,3383.48388671875,0.29555335077117345,699.61474609375
215,79,0.24166452884674072,79,0,0,89,79,3189.6259784698486,0.31351638303363943,699.61474609375
216,69,0.2450656294822693,69,0,0,81,69,2189.164876937866,0.45679519643982597,699.61474609375
217,62,0.2584175169467926,62,0,0,78,62,1974.266529083252,0.50651722311493,699.61474609375
218,92,0.20955488085746765,92,0,0,86,92,3870.323419570923,0.2583763400607134,699.61474609375
219,89,0.20252154767513275,89,0,0,101,89,2480.947732925415,0.4030717724233746,699.61474609375
220,81,0.24303817749023438,81,0,0,97,81,2226.8614768981934,0.4490625080967789,699.61474609375
221,79,0.2518030107021332,79,0,0,78,79,3715.311288833618,0.2691564507678007,699.61474609375
222,76,0.23572003841400146,76,0,0,85,76,2431.0336112976074,0.4113476651876616,699.61474609375
223,71,0.27497220039367676,71,0,0,92,71,2039.9608612060547,0.49020548335853137,699.61474609375
224,77,0.24321025609970093,77,0,0,91,77,1561.7666244506836,0.6403005316826562,699.61474609375
225,75,0.25072842836380005,75,0,0,87,75,1881.8576335906982,0.5313898257499636,699.61474609375
226,60,0.2762698531150818,60,0,0,82,60,2338.383913040161,0.42764577468371645,699.61474609375
227,78,0.23697760701179504,78,0,0,72,78,2997.737169265747,0.33358494875817807,699.61474609375
228,76,0.2537936270236969,76,0,0,86,76,1939.3835067749023,0.5156277737263786,699.61474609375
229,67,0.27512359619140625,67,0,0,87,67,1487.6234531402588,0.6722131181039643,699.61474609375
230,77,0.2468980848789215,77,0,0,87,77,3581.583261489868,0.2792061295216182,699.61474609375
231,80,0.2405940741300583,80,0,0,85,80,2720.8518981933594,0.36753194860183247,699.61474609375
232,68,0.25485891103744507,68,0,0,90,68,3568.6583518981934,0.2802173538041526,699.61474609375
233,76,0.20827192068099976,76,0,0,94,76,2913.111925125122,0.3432755162529667,699.61474609375
234,67,0.25358858704566956,67,0,0,95,67,1980.9327125549316,0.5048127044710358,699.61474609375
