frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
100,15,0.4833506941795349,15,0,0,18,15,71.97332382202148,13.894036663817834,369.95263671875
101,16,0.48384952545166016,16,0,0,15,16,130.37419319152832,7.670229633029704,369.95263671875
102,14,0.46727365255355835,14,0,0,14,14,95.6413745880127,10.455725927273905,369.95263671875
103,17,0.4497363865375519,17,0,0,16,17,103.38473320007324,9.6726080248693,369.95263671875
104,17,0.4618372917175293,17,0,0,19,17,119.65298652648926,8.357501379864146,369.95263671875
105,16,0.49136969447135925,16,0,0,16,16,178.41458320617676,5.6049229946881365,369.95263671875
106,16,0.4896376132965088,16,0,0,13,16,60.419321060180664,16.550996973368004,369.95263671875
107,19,0.4670785665512085,19,0,0,16,19,68.56656074523926,14.584368665004572,369.95263671875
108,17,0.4848518967628479,17,0,0,18,17,68.29071044921875,14.64328008043794,369.95263671875
109,16,0.465400755405426,16,0,0,17,16,62.81900405883789,15.918749667909003,369.95263671875
110,16,0.5228416323661804,16,0,0,18,16,84.15651321411133,11.882621579815172,369.95263671875
111,20,0.4529034495353699,20,0,0,18,20,153.16104888916016,6.529075161424898,369.95263671875
112,20,0.4885135591030121,20,0,0,20,20,99.09224510192871,10.091607057357269,369.95263671875
113,18,0.5015972852706909,18,0,0,21,18,68.79210472106934,14.536551891451644,369.95263671875
114,18,0.5091173648834229,18,0,0,19,18,67.14940071105957,14.892165669548545,369.95263671875
115,16,0.5003666877746582,16,0,0,17,16,62.104225158691406,16.101964036178806,369.95263671875
116,13,0.5239306092262268,13,0,0,15,13,59.79466438293457,16.723900206142815,369.95263671875
117,15,0.5048478841781616,15,0,0,15,15,89.41960334777832,11.183230103478708,369.95263671875
118,16,0.5134088397026062,16,0,0,15,16,106.45294189453125,9.393822117107431,369.95263671875
119,19,0.4828296899795532,19,0,0,17,19,115.57149887084961,8.652652338769903,369.95263671875
120,18,0.4398808181285858,18,0,0,18,18,122.07460403442383,8.191712010124643,369.95263671875
121,16,0.47887393832206726,16,0,0,18,16,110.69107055664062,9.034152393424543,369.95263671875
122,16,0.45892348885536194,16,0,0,17,16,105.80635070800781,9.451228525589025,369.95263671875
123,17,0.444688081741333,17,0,0,18,17,125.26607513427734,7.983007361953849,369.95263671875
124,19,0.4328094720840454,19,0,0,20,19,116.85466766357422,8.557638475161388,369.95263671875
125,17,0.44150251150131226,17,0,0,20,17,125.30303001403809,7.980652980921267,369.95263671875
126,19,0.4117974042892456,19,0,0,21,19,118.82472038269043,8.41575723283312,369.95263671875
127,16,0.45573902130126953,16,0,0,20,16,106.86755180358887,9.357377268620255,369.95263671875
128,19,0.4000645577907562,19,0,0,21,19,120.1024055480957,8.326227900568938,369.95263671875
129,21,0.4387015700340271,21,0,0,21,21,117.61140823364258,8.50257653588703,369.95263671875
130,21,0.4366726279258728,21,0,0,22,21,134.1092586517334,7.456606725393114,369.95263671875
131,14,0.5045672655105591,14,0,0,19,14,63.478946685791016,15.753254460093897,369.95263671875
132,13,0.4891657531261444,13,0,0,16,13,56.795358657836914,17.60707254310146,369.95263671875
133,11,0.49402305483818054,11,0,0,15,11,57.08575248718262,17.51750579489214,369.95263671875
134,13,0.4792611300945282,13,0,0,14,13,56.285858154296875,17.76645205015249,369.95263671875
135,12,0.47761663794517517,12,0,0,13,12,54.95810508728027,18.195678297348067,369.95263671875
136,16,0.4733949303627014,16,0,0,16,16,93.69087219238281,10.673398342867612,369.95263671875
137,12,0.5383263230323792,12,0,0,16,12,81.90441131591797,12.20935458705448,369.95263671875
138,10,0.6049319505691528,10,0,0,12,10,53.3289909362793,18.75152674827207,369.95263671875
139,12,0.5026382803916931,12,0,0,12,12,55.76729774475098,17.9316560141938,369.95263671875
140,14,0.44721531867980957,14,0,0,14,14,59.74936485290527,16.736579584768183,369.95263671875
141,15,0.486103892326355,15,0,0,14,15,97.37849235534668,10.269208074724252,369.95263671875
142,14,0.4735032916069031,14,0,0,15,14,61.89370155334473,16.15673283230804,369.95263671875
143,13,0.531662106513977,13,0,0,16,13,60.78600883483887,16.451154125237785,369.95263671875
144,12,0.5453326106071472,12,0,0,15,12,53.44867706298828,18.709536979213134,369.95263671875
145,13,0.5128335356712341,13,0,0,12,13,59.8299503326416,16.714036940365418,369.95263671875
146,11,0.47707483172416687,11,0,0,12,11,57.09338188171387,17.51516492877933,369.95263671875
147,12,0.4888017475605011,12,0,0,12,12,57.39331245422363,17.423632775989198,369.95263671875
148,11,0.4962007403373718,11,0,0,11,11,55.0081729888916,18.179116768737998,369.95263671875
149,11,0.4683588147163391,11,0,0,11,11,55.58037757873535,17.991961256171688,369.95263671875
150,12,0.4735550582408905,12,0,0,12,12,57.06024169921875,17.525337611980213,369.95263671875
151,11,0.43661925196647644,11,0,0,13,11,58.008432388305664,17.23887301946117,369.95263671875
152,15,0.3886338472366333,15,0,0,15,15,72.24011421203613,13.842724515424246,369.95263671875
153,14,0.4048340320587158,14,0,0,17,14,71.00391387939453,14.083730675728312,369.95263671875
